Servant,Rarity,Class,S2,S3,S4,S5,S6,S7,S8,S9,S10,A2,A3,A4,A5,A6,A7,A8,A9,A10
牛若丸,3,Rider,"{'骑之辉石': 4, 'QP': 50000}","{'骑之辉石': 8, 'QP': 100000}","{'骑之魔石': 4, 'QP': 300000}","{'骑之魔石': 8, '陨蹄铁': 4, 'QP': 400000}","{'骑之秘石': 4, '陨蹄铁': 7, 'QP': 1000000}","{'骑之秘石': 8, '英雄之证': 10, 'QP': 1250000}","{'英雄之证': 20, '无间齿轮': 4, 'QP': 2500000}","{'无间齿轮': 12, '八连双晶': 16, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'骑之辉石': 4, 'QP': 50000}","{'骑之辉石': 8, 'QP': 100000}","{'骑之魔石': 4, 'QP': 300000}","{'骑之魔石': 8, '世界树之种': 4, 'QP': 400000}","{'骑之秘石': 4, '世界树之种': 8, 'QP': 1000000}","{'骑之秘石': 8, '枯淡勾玉': 4, 'QP': 1250000}","{'枯淡勾玉': 7, '闲古铃': 4, 'QP': 2500000}","{'闲古铃': 12, '鬼炎鬼灯': 7, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
亚历山大,3,Rider,"{'骑之辉石': 4, 'QP': 50000}","{'骑之辉石': 8, 'QP': 100000}","{'骑之魔石': 4, 'QP': 300000}","{'骑之魔石': 8, '八连双晶': 4, 'QP': 400000}","{'骑之秘石': 4, '八连双晶': 7, 'QP': 1000000}","{'骑之秘石': 8, '陨蹄铁': 4, 'QP': 1250000}","{'陨蹄铁': 7, '混沌之爪': 3, 'QP': 2500000}","{'混沌之爪': 8, '英雄之证': 48, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'骑之辉石': 4, 'QP': 50000}","{'骑之辉石': 8, 'QP': 100000}","{'骑之魔石': 4, 'QP': 300000}","{'骑之魔石': 8, '无间齿轮': 4, 'QP': 400000}","{'骑之秘石': 4, '无间齿轮': 7, 'QP': 1000000}","{'骑之秘石': 8, '战马的幼角': 2, 'QP': 1250000}","{'战马的幼角': 4, '起源的胎毛': 3, 'QP': 2500000}","{'起源的胎毛': 8, '光银之冠': 16, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
玛丽·安托瓦内特,4,Rider,"{'骑之辉石': 4, 'QP': 100000}","{'骑之辉石': 10, 'QP': 200000}","{'骑之魔石': 4, 'QP': 600000}","{'骑之魔石': 10, '蛇之宝玉': 4, 'QP': 800000}","{'骑之秘石': 4, '蛇之宝玉': 7, 'QP': 2000000}","{'骑之秘石': 10, '凤凰羽毛': 4, 'QP': 2500000}","{'凤凰羽毛': 7, '蛮神心脏': 2, 'QP': 5000000}","{'蛮神心脏': 6, '无间齿轮': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'骑之辉石': 4, 'QP': 100000}","{'骑之辉石': 10, 'QP': 200000}","{'骑之魔石': 4, 'QP': 600000}","{'骑之魔石': 10, '战马的幼角': 3, 'QP': 800000}","{'骑之秘石': 4, '战马的幼角': 5, 'QP': 2000000}","{'骑之秘石': 10, '智慧之圣甲虫像': 2, 'QP': 2500000}","{'智慧之圣甲虫像': 4, '九十九镜': 2, 'QP': 5000000}","{'九十九镜': 6, '虹之线球': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
玛尔达,4,Rider,"{'骑之辉石': 4, 'QP': 100000}","{'骑之辉石': 10, 'QP': 200000}","{'骑之魔石': 4, 'QP': 600000}","{'骑之魔石': 10, '世界树之种': 5, 'QP': 800000}","{'骑之秘石': 4, '世界树之种': 10, 'QP': 2000000}","{'骑之秘石': 10, '龙之牙': 10, 'QP': 2500000}","{'龙之牙': 20, '凤凰羽毛': 4, 'QP': 5000000}","{'凤凰羽毛': 12, '龙之逆鳞': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'骑之辉石': 4, 'QP': 100000}","{'骑之辉石': 10, 'QP': 200000}","{'骑之魔石': 4, 'QP': 600000}","{'骑之魔石': 10, '蛇之宝玉': 4, 'QP': 800000}","{'骑之秘石': 4, '蛇之宝玉': 7, 'QP': 2000000}","{'骑之秘石': 10, '精灵根': 2, 'QP': 2500000}","{'精灵根': 4, '极光之钢': 5, 'QP': 5000000}","{'极光之钢': 15, '九十九镜': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
美狄亚,3,Caster,"{'术之辉石': 4, 'QP': 50000}","{'术之辉石': 8, 'QP': 100000}","{'术之魔石': 4, 'QP': 300000}","{'术之魔石': 8, '虚影之尘': 7, 'QP': 400000}","{'术之秘石': 4, '虚影之尘': 13, 'QP': 1000000}","{'术之秘石': 8, '龙之牙': 8, 'QP': 1250000}","{'龙之牙': 16, '鬼魂提灯': 4, 'QP': 2500000}","{'鬼魂提灯': 12, '禁断书页': 16, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'术之辉石': 4, 'QP': 50000}","{'术之辉石': 8, 'QP': 100000}","{'术之魔石': 4, 'QP': 300000}","{'术之魔石': 8, '凶骨': 10, 'QP': 400000}","{'术之秘石': 4, '凶骨': 20, 'QP': 1000000}","{'术之秘石': 8, '封魔之灯': 2, 'QP': 1250000}","{'封魔之灯': 4, '智慧之圣甲虫像': 2, 'QP': 2500000}","{'智慧之圣甲虫像': 5, '虹之线球': 16, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
吉尔·德·雷(Caster),3,Caster,"{'术之辉石': 4, 'QP': 50000}","{'术之辉石': 8, 'QP': 100000}","{'术之魔石': 4, 'QP': 300000}","{'术之魔石': 8, '人工生命体幼体': 4, 'QP': 400000}","{'术之秘石': 4, '人工生命体幼体': 7, 'QP': 1000000}","{'术之秘石': 8, '鬼魂提灯': 4, 'QP': 1250000}","{'鬼魂提灯': 7, '虚影之尘': 8, 'QP': 2500000}","{'虚影之尘': 24, '蛮神心脏': 7, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'术之辉石': 4, 'QP': 50000}","{'术之辉石': 8, 'QP': 100000}","{'术之魔石': 4, 'QP': 300000}","{'术之魔石': 8, '禁断书页': 4, 'QP': 400000}","{'术之秘石': 4, '禁断书页': 7, 'QP': 1000000}","{'术之秘石': 8, '蛇之宝玉': 3, 'QP': 1250000}","{'蛇之宝玉': 6, '魔术髓液': 12, 'QP': 2500000}","{'魔术髓液': 36, '煌星碎片': 7, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
汉斯·克里斯蒂安·安徒生,2,Caster,"{'术之辉石': 3, 'QP': 20000}","{'术之辉石': 6, 'QP': 40000}","{'术之魔石': 3, 'QP': 120000}","{'术之魔石': 6, '人工生命体幼体': 3, 'QP': 160000}","{'术之秘石': 3, '人工生命体幼体': 5, 'QP': 400000}","{'术之秘石': 6, '禁断书页': 3, 'QP': 500000}","{'禁断书页': 5, '虚影之尘': 6, 'QP': 1000000}","{'虚影之尘': 18, '陨蹄铁': 12, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}","{'术之辉石': 3, 'QP': 20000}","{'术之辉石': 6, 'QP': 40000}","{'术之魔石': 3, 'QP': 120000}","{'术之魔石': 6, '追忆的贝壳': 3, 'QP': 160000}","{'术之秘石': 3, '追忆的贝壳': 5, 'QP': 400000}","{'术之秘石': 6, '智慧之圣甲虫像': 1, 'QP': 500000}","{'智慧之圣甲虫像': 2, '真理之卵': 2, 'QP': 1000000}","{'真理之卵': 4, '梦幻的鳞粉': 12, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}"
威廉·莎士比亚,2,Caster,"{'术之辉石': 3, 'QP': 20000}","{'术之辉石': 6, 'QP': 40000}","{'术之魔石': 3, 'QP': 120000}","{'术之魔石': 6, '禁断书页': 3, 'QP': 160000}","{'术之秘石': 3, '禁断书页': 5, 'QP': 400000}","{'术之秘石': 6, '鬼魂提灯': 3, 'QP': 500000}","{'鬼魂提灯': 5, '虚影之尘': 6, 'QP': 1000000}","{'虚影之尘': 18, '蛇之宝玉': 10, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}","{'术之辉石': 3, 'QP': 20000}","{'术之辉石': 6, 'QP': 40000}","{'术之魔石': 3, 'QP': 120000}","{'术之魔石': 6, '愚者之锁': 8, 'QP': 160000}","{'术之秘石': 3, '愚者之锁': 15, 'QP': 400000}","{'术之秘石': 6, '混沌之爪': 2, 'QP': 500000}","{'混沌之爪': 3, '魔术髓液': 9, 'QP': 1000000}","{'魔术髓液': 27, '梦幻的鳞粉': 12, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}"
梅菲斯托费勒斯,3,Caster,"{'术之辉石': 4, 'QP': 50000}","{'术之辉石': 8, 'QP': 100000}","{'术之魔石': 4, 'QP': 300000}","{'术之魔石': 8, '人工生命体幼体': 4, 'QP': 400000}","{'术之秘石': 4, '人工生命体幼体': 7, 'QP': 1000000}","{'术之秘石': 8, '虚影之尘': 7, 'QP': 1250000}","{'虚影之尘': 13, '无间齿轮': 4, 'QP': 2500000}","{'无间齿轮': 12, '鬼魂提灯': 16, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'术之辉石': 4, 'QP': 50000}","{'术之辉石': 8, 'QP': 100000}","{'术之魔石': 4, 'QP': 300000}","{'术之魔石': 8, '咒兽胆石': 2, 'QP': 400000}","{'术之秘石': 4, '咒兽胆石': 3, 'QP': 1000000}","{'术之秘石': 8, '蛮神心脏': 2, 'QP': 1250000}","{'蛮神心脏': 3, '魔术髓液': 12, 'QP': 2500000}","{'魔术髓液': 36, '振荡火药': 48, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
沃尔夫冈·阿马德乌斯·莫扎特,1,Caster,"{'术之辉石': 2, 'QP': 10000}","{'术之辉石': 4, 'QP': 20000}","{'术之魔石': 2, 'QP': 60000}","{'术之魔石': 4, '无间齿轮': 2, 'QP': 80000}","{'术之秘石': 2, '无间齿轮': 4, 'QP': 200000}","{'术之秘石': 4, '凶骨': 5, 'QP': 250000}","{'凶骨': 10, '凤凰羽毛': 2, 'QP': 500000}","{'凤凰羽毛': 5, '蛮神心脏': 4, 'QP': 600000}","{'传承结晶': 1, 'QP': 1000000}","{'术之辉石': 2, 'QP': 10000}","{'术之辉石': 4, 'QP': 20000}","{'术之魔石': 2, 'QP': 60000}","{'术之魔石': 4, '愚者之锁': 5, 'QP': 80000}","{'术之秘石': 2, '愚者之锁': 10, 'QP': 200000}","{'术之秘石': 4, '禁断书页': 2, 'QP': 250000}","{'禁断书页': 4, '煌星碎片': 1, 'QP': 500000}","{'煌星碎片': 3, '赦免的小钟': 24, 'QP': 600000}","{'传承结晶': 1, 'QP': 1000000}"
诸葛孔明〔埃尔梅罗Ⅱ世〕,5,Caster,"{'术之辉石': 5, 'QP': 200000}","{'术之辉石': 12, 'QP': 400000}","{'术之魔石': 5, 'QP': 1200000}","{'术之魔石': 12, '禁断书页': 5, 'QP': 1600000}","{'术之秘石': 5, '禁断书页': 10, 'QP': 4000000}","{'术之秘石': 12, '虚影之尘': 10, 'QP': 5000000}","{'虚影之尘': 20, '蛮神心脏': 3, 'QP': 10000000}","{'蛮神心脏': 8, '凤凰羽毛': 20, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'术之辉石': 5, 'QP': 200000}","{'术之辉石': 12, 'QP': 400000}","{'术之魔石': 5, 'QP': 1200000}","{'术之魔石': 12, '陨蹄铁': 5, 'QP': 1600000}","{'术之秘石': 5, '陨蹄铁': 10, 'QP': 4000000}","{'术之秘石': 12, '无间齿轮': 5, 'QP': 5000000}","{'无间齿轮': 10, '起源的胎毛': 4, 'QP': 10000000}","{'起源的胎毛': 11, '真理之卵': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
库·丘林(Caster),3,Caster,"{'术之辉石': 4, 'QP': 50000}","{'术之辉石': 8, 'QP': 100000}","{'术之魔石': 4, 'QP': 300000}","{'术之魔石': 8, '禁断书页': 4, 'QP': 400000}","{'术之秘石': 4, '禁断书页': 7, 'QP': 1000000}","{'术之秘石': 8, '世界树之种': 4, 'QP': 1250000}","{'世界树之种': 8, '凤凰羽毛': 4, 'QP': 2500000}","{'凤凰羽毛': 10, '无间齿轮': 16, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'术之辉石': 4, 'QP': 50000}","{'术之辉石': 8, 'QP': 100000}","{'术之魔石': 4, 'QP': 300000}","{'术之魔石': 8, '精灵根': 2, 'QP': 400000}","{'术之秘石': 4, '精灵根': 3, 'QP': 1000000}","{'术之秘石': 8, '蛮神心脏': 2, 'QP': 1250000}","{'蛮神心脏': 3, '真理之卵': 2, 'QP': 2500000}","{'真理之卵': 5, '神脉灵子': 16, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
佐佐木小次郎,1,Assassin,"{'杀之辉石': 2, 'QP': 10000}","{'杀之辉石': 4, 'QP': 20000}","{'杀之魔石': 2, 'QP': 60000}","{'杀之魔石': 4, '虚影之尘': 4, 'QP': 80000}","{'杀之秘石': 2, '虚影之尘': 7, 'QP': 200000}","{'杀之秘石': 4, '英雄之证': 5, 'QP': 250000}","{'英雄之证': 10, '凶骨': 6, 'QP': 500000}","{'凶骨': 18, '八连双晶': 8, 'QP': 600000}","{'传承结晶': 1, 'QP': 1000000}","{'杀之辉石': 2, 'QP': 10000}","{'杀之辉石': 4, 'QP': 20000}","{'杀之魔石': 2, 'QP': 60000}","{'杀之魔石': 4, '龙之牙': 4, 'QP': 80000}","{'杀之秘石': 2, '龙之牙': 8, 'QP': 200000}","{'杀之秘石': 4, '世界树之种': 2, 'QP': 250000}","{'世界树之种': 4, '枯淡勾玉': 2, 'QP': 500000}","{'枯淡勾玉': 6, '奇奇神酒': 4, 'QP': 600000}","{'传承结晶': 1, 'QP': 1000000}"
咒腕哈桑,2,Assassin,"{'杀之辉石': 3, 'QP': 20000}","{'杀之辉石': 6, 'QP': 40000}","{'杀之魔石': 3, 'QP': 120000}","{'杀之魔石': 6, '无间齿轮': 3, 'QP': 160000}","{'杀之秘石': 3, '无间齿轮': 5, 'QP': 400000}","{'杀之秘石': 6, '凶骨': 8, 'QP': 500000}","{'凶骨': 15, '鬼魂提灯': 3, 'QP': 1000000}","{'鬼魂提灯': 9, '人工生命体幼体': 12, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}","{'杀之辉石': 3, 'QP': 20000}","{'杀之辉石': 6, 'QP': 40000}","{'杀之魔石': 3, 'QP': 120000}","{'杀之魔石': 6, '万死的毒针': 6, 'QP': 160000}","{'杀之秘石': 3, '万死的毒针': 12, 'QP': 400000}","{'杀之秘石': 6, '蛮神心脏': 1, 'QP': 500000}","{'蛮神心脏': 2, '魔术髓液': 9, 'QP': 1000000}","{'魔术髓液': 27, '宵泣之铁桩': 36, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}"
斯忒诺,4,Assassin,"{'杀之辉石': 4, 'QP': 100000}","{'杀之辉石': 10, 'QP': 200000}","{'杀之魔石': 4, 'QP': 600000}","{'杀之魔石': 10, '蛮神心脏': 2, 'QP': 800000}","{'杀之秘石': 4, '蛮神心脏': 4, 'QP': 2000000}","{'杀之秘石': 10, '蛇之宝玉': 4, 'QP': 2500000}","{'蛇之宝玉': 7, '混沌之爪': 3, 'QP': 5000000}","{'混沌之爪': 9, '龙之逆鳞': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'杀之辉石': 4, 'QP': 100000}","{'杀之辉石': 10, 'QP': 200000}","{'杀之魔石': 4, 'QP': 600000}","{'杀之魔石': 10, '八连双晶': 4, 'QP': 800000}","{'杀之秘石': 4, '八连双晶': 8, 'QP': 2000000}","{'杀之秘石': 10, '凤凰羽毛': 4, 'QP': 2500000}","{'凤凰羽毛': 7, '神脉灵子': 5, 'QP': 5000000}","{'神脉灵子': 15, '悠久果实': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
荆轲,3,Assassin,"{'杀之辉石': 4, 'QP': 50000}","{'杀之辉石': 8, 'QP': 100000}","{'杀之魔石': 4, 'QP': 300000}","{'杀之魔石': 8, '八连双晶': 4, 'QP': 400000}","{'杀之秘石': 4, '八连双晶': 7, 'QP': 1000000}","{'杀之秘石': 8, '凶骨': 10, 'QP': 1250000}","{'凶骨': 20, '凤凰羽毛': 4, 'QP': 2500000}","{'凤凰羽毛': 10, '虚影之尘': 32, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'杀之辉石': 4, 'QP': 50000}","{'杀之辉石': 8, 'QP': 100000}","{'杀之魔石': 4, 'QP': 300000}","{'杀之魔石': 8, '万死的毒针': 8, 'QP': 400000}","{'杀之秘石': 4, '万死的毒针': 16, 'QP': 1000000}","{'杀之秘石': 8, '鬼魂提灯': 4, 'QP': 1250000}","{'鬼魂提灯': 7, '闲古铃': 4, 'QP': 2500000}","{'闲古铃': 12, '奇奇神酒': 7, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
夏尔·亨利·桑松,2,Assassin,"{'杀之辉石': 3, 'QP': 20000}","{'杀之辉石': 6, 'QP': 40000}","{'杀之魔石': 3, 'QP': 120000}","{'杀之魔石': 6, '虚影之尘': 5, 'QP': 160000}","{'杀之秘石': 3, '虚影之尘': 10, 'QP': 400000}","{'杀之秘石': 6, '凶骨': 8, 'QP': 500000}","{'凶骨': 15, '禁断书页': 3, 'QP': 1000000}","{'禁断书页': 9, '人工生命体幼体': 12, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}","{'杀之辉石': 3, 'QP': 20000}","{'杀之辉石': 6, 'QP': 40000}","{'杀之魔石': 3, 'QP': 120000}","{'杀之魔石': 6, '鬼魂提灯': 3, 'QP': 160000}","{'杀之秘石': 3, '鬼魂提灯': 5, 'QP': 400000}","{'杀之秘石': 6, '血之泪石': 2, 'QP': 500000}","{'血之泪石': 3, '宵泣之铁桩': 9, 'QP': 1000000}","{'宵泣之铁桩': 27, '赦免的小钟': 36, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}"
剧院魅影,2,Assassin,"{'杀之辉石': 3, 'QP': 20000}","{'杀之辉石': 6, 'QP': 40000}","{'杀之魔石': 3, 'QP': 120000}","{'杀之魔石': 6, '虚影之尘': 5, 'QP': 160000}","{'杀之秘石': 3, '虚影之尘': 10, 'QP': 400000}","{'杀之秘石': 6, '鬼魂提灯': 3, 'QP': 500000}","{'鬼魂提灯': 5, '蛮神心脏': 2, 'QP': 1000000}","{'蛮神心脏': 4, '凶骨': 36, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}","{'杀之辉石': 3, 'QP': 20000}","{'杀之辉石': 6, 'QP': 40000}","{'杀之魔石': 3, 'QP': 120000}","{'杀之魔石': 6, '禁断书页': 3, 'QP': 160000}","{'杀之秘石': 3, '禁断书页': 5, 'QP': 400000}","{'杀之秘石': 6, '凤凰羽毛': 2, 'QP': 500000}","{'凤凰羽毛': 4, '闲古铃': 3, 'QP': 1000000}","{'闲古铃': 9, '赦免的小钟': 36, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}"
玛塔·哈丽,1,Assassin,"{'杀之辉石': 2, 'QP': 10000}","{'杀之辉石': 4, 'QP': 20000}","{'杀之魔石': 2, 'QP': 60000}","{'杀之魔石': 4, '无间齿轮': 2, 'QP': 80000}","{'杀之秘石': 2, '无间齿轮': 4, 'QP': 200000}","{'杀之秘石': 4, '凤凰羽毛': 2, 'QP': 250000}","{'凤凰羽毛': 3, '人工生命体幼体': 2, 'QP': 500000}","{'人工生命体幼体': 6, '蛇之宝玉': 7, 'QP': 600000}","{'传承结晶': 1, 'QP': 1000000}","{'杀之辉石': 2, 'QP': 10000}","{'杀之辉石': 4, 'QP': 20000}","{'杀之魔石': 2, 'QP': 60000}","{'杀之魔石': 4, '鬼魂提灯': 2, 'QP': 80000}","{'杀之秘石': 2, '鬼魂提灯': 4, 'QP': 200000}","{'杀之秘石': 4, '万死的毒针': 4, 'QP': 250000}","{'万死的毒针': 8, '振荡火药': 6, 'QP': 500000}","{'振荡火药': 18, '梦幻的鳞粉': 8, 'QP': 600000}","{'传承结晶': 1, 'QP': 1000000}"
卡米拉,4,Assassin,"{'杀之辉石': 4, 'QP': 100000}","{'杀之辉石': 10, 'QP': 200000}","{'杀之魔石': 4, 'QP': 600000}","{'杀之魔石': 10, '人工生命体幼体': 4, 'QP': 800000}","{'杀之秘石': 4, '人工生命体幼体': 8, 'QP': 2000000}","{'杀之秘石': 10, '蛇之宝玉': 4, 'QP': 2500000}","{'蛇之宝玉': 7, '凶骨': 15, 'QP': 5000000}","{'凶骨': 45, '混沌之爪': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'杀之辉石': 4, 'QP': 100000}","{'杀之辉石': 10, 'QP': 200000}","{'杀之魔石': 4, 'QP': 600000}","{'杀之魔石': 10, '血之泪石': 3, 'QP': 800000}","{'杀之秘石': 4, '血之泪石': 5, 'QP': 2000000}","{'杀之秘石': 10, '鬼魂提灯': 4, 'QP': 2500000}","{'鬼魂提灯': 8, '宵泣之铁桩': 15, 'QP': 5000000}","{'宵泣之铁桩': 45, '魔术髓液': 60, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
赫拉克勒斯,4,Berserker,"{'狂之辉石': 4, 'QP': 100000}","{'狂之辉石': 10, 'QP': 200000}","{'狂之魔石': 4, 'QP': 600000}","{'狂之魔石': 10, '蛮神心脏': 2, 'QP': 800000}","{'狂之秘石': 4, '蛮神心脏': 4, 'QP': 2000000}","{'狂之秘石': 10, '八连双晶': 4, 'QP': 2500000}","{'八连双晶': 8, '英雄之证': 15, 'QP': 5000000}","{'英雄之证': 45, '龙之逆鳞': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'狂之辉石': 4, 'QP': 100000}","{'狂之辉石': 10, 'QP': 200000}","{'狂之魔石': 4, 'QP': 600000}","{'狂之魔石': 10, '混沌之爪': 3, 'QP': 800000}","{'狂之秘石': 4, '混沌之爪': 5, 'QP': 2000000}","{'狂之秘石': 10, '起源的胎毛': 3, 'QP': 2500000}","{'起源的胎毛': 5, '巨人的戒指': 5, 'QP': 5000000}","{'巨人的戒指': 15, '神脉灵子': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
兰斯洛特,4,Berserker,"{'狂之辉石': 4, 'QP': 100000}","{'狂之辉石': 10, 'QP': 200000}","{'狂之魔石': 4, 'QP': 600000}","{'狂之魔石': 10, '混沌之爪': 3, 'QP': 800000}","{'狂之秘石': 4, '混沌之爪': 5, 'QP': 2000000}","{'狂之秘石': 10, '龙之逆鳞': 2, 'QP': 2500000}","{'龙之逆鳞': 4, '陨蹄铁': 5, 'QP': 5000000}","{'陨蹄铁': 15, '龙之牙': 48, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'狂之辉石': 4, 'QP': 100000}","{'狂之辉石': 10, 'QP': 200000}","{'狂之魔石': 4, 'QP': 600000}","{'狂之魔石': 10, '虚影之尘': 8, 'QP': 800000}","{'狂之秘石': 4, '虚影之尘': 16, 'QP': 2000000}","{'狂之秘石': 10, '大骑士勋章': 8, 'QP': 2500000}","{'大骑士勋章': 16, '极光之钢': 5, 'QP': 5000000}","{'极光之钢': 15, '晓光炉心': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
吕布奉先,3,Berserker,"{'狂之辉石': 4, 'QP': 50000}","{'狂之辉石': 8, 'QP': 100000}","{'狂之魔石': 4, 'QP': 300000}","{'狂之魔石': 8, '凶骨': 10, 'QP': 400000}","{'狂之秘石': 4, '凶骨': 20, 'QP': 1000000}","{'狂之秘石': 8, '陨蹄铁': 4, 'QP': 1250000}","{'陨蹄铁': 7, '八连双晶': 4, 'QP': 2500000}","{'八连双晶': 12, '虚影之尘': 32, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'狂之辉石': 4, 'QP': 50000}","{'狂之辉石': 8, 'QP': 100000}","{'狂之魔石': 4, 'QP': 300000}","{'狂之魔石': 8, '混沌之爪': 2, 'QP': 400000}","{'狂之秘石': 4, '混沌之爪': 4, 'QP': 1000000}","{'狂之秘石': 8, '凤凰羽毛': 3, 'QP': 1250000}","{'凤凰羽毛': 6, '奇奇神酒': 2, 'QP': 2500000}","{'奇奇神酒': 5, '闲古铃': 16, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
斯巴达克斯,1,Berserker,"{'狂之辉石': 2, 'QP': 10000}","{'狂之辉石': 4, 'QP': 20000}","{'狂之魔石': 2, 'QP': 60000}","{'狂之魔石': 4, '英雄之证': 5, 'QP': 80000}","{'狂之秘石': 2, '英雄之证': 10, 'QP': 200000}","{'狂之秘石': 4, '八连双晶': 2, 'QP': 250000}","{'八连双晶': 4, '世界树之种': 3, 'QP': 500000}","{'世界树之种': 8, '凶骨': 24, 'QP': 600000}","{'传承结晶': 1, 'QP': 1000000}","{'狂之辉石': 2, 'QP': 10000}","{'狂之辉石': 4, 'QP': 20000}","{'狂之魔石': 2, 'QP': 60000}","{'狂之魔石': 4, '愚者之锁': 5, 'QP': 80000}","{'狂之秘石': 2, '愚者之锁': 10, 'QP': 200000}","{'狂之秘石': 4, '黑兽脂': 1, 'QP': 250000}","{'黑兽脂': 2, '魔术髓液': 6, 'QP': 500000}","{'魔术髓液': 18, '巨人的戒指': 8, 'QP': 600000}","{'传承结晶': 1, 'QP': 1000000}"
坂田金时,5,Berserker,"{'狂之辉石': 5, 'QP': 200000}","{'狂之辉石': 12, 'QP': 400000}","{'狂之魔石': 5, 'QP': 1200000}","{'狂之魔石': 12, '八连双晶': 5, 'QP': 1600000}","{'狂之秘石': 5, '八连双晶': 10, 'QP': 4000000}","{'狂之秘石': 12, '英雄之证': 15, 'QP': 5000000}","{'英雄之证': 29, '虚影之尘': 12, 'QP': 10000000}","{'虚影之尘': 36, '蛮神心脏': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'狂之辉石': 5, 'QP': 200000}","{'狂之辉石': 12, 'QP': 400000}","{'狂之魔石': 5, 'QP': 1200000}","{'狂之魔石': 12, '精灵根': 2, 'QP': 1600000}","{'狂之秘石': 5, '精灵根': 4, 'QP': 4000000}","{'狂之秘石': 12, '起源的胎毛': 3, 'QP': 5000000}","{'起源的胎毛': 6, '虹之线球': 6, 'QP': 10000000}","{'虹之线球': 18, '鬼炎鬼灯': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
